,id,smiles
0,PGCJWESTEUQVEX-UHFFFAOYNA-N,[H]c1c(c(c(c(c1OC2=C(c3c(nc(nc3N(C2=O)C([H])([H])[H])[H])[H])[H])F)[H])F)[H]
1,ZUGSTGMQOJUHNH-UHFFFAOYNA-N,[H]c1c2c(nc(n1)[H])N(C(=O)C(=C2[H])OC([H])([H])[H])C3(C(C3([H])[H])([H])[H])[H]
2,MTWDXLRICMRAMB-MZSCVVMKNA-N,[H]c1c(c(c(c(c1[H])C([H])([H])C(=O)N([H])c2c(c(c(c(n2)[H])C([H])([H])[H])N([H])[H])[H])OC([H])([H])[H])[H])[H]
3,KXDAEFPNCMNJSK-FSHFIPFONA-N,[H]c1c(c(c(c(c1[H])[H])C(=O)N([H])[H])[H])[H]
4,CLJVGDCRSDRHTR-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])N([H])C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H]
5,XOMIFFJNRMRRHE-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])N([H])C2(C(C(N(C(C2([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])[H])C3=C(C(=C(S3)[H])[H])Br)[H]
6,XWWRLKIBRPJQJX-BDGWVKIONA-N,[H]c1c(c(c(c(c1[H])[H])N([H])c2nc3c(c(n2)OC([H])([H])C4(C(C(C(C(C4([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])N=C(N3[H])[H])[H])[H]
7,DLRJIFUOBPOJNS-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])OC([H])([H])C([H])([H])[H])[H])[H]
8,VKFRDNCVIIUBJW-QMLCPYSLNA-N,[H]c1c(nc(c(c1N([H])[H])C#N)OC([H])(C([H])([H])[H])C([H])([H])[H])[H]
9,LRNNDJRYEYENQZ-LUXCBXFANA-N,[H]c1c(c(c(c(c1[H])Br)[H])N([H])c2nc(c3c(n2)N(C(=N3)[H])[H])[H])[H]
10,ZVCRIBXPAKDTMU-RAMKCJLLNA-N,[H]c1c(c(nc(c1[H])N([H])C(=O)[C@@]2([C@@](C2([H])[H])([H])C#N)[H])[H])[H]
11,JPMXDCQVCWBOLQ-UHFFFAOYNA-N,[H]c1c(c(c2c(c1[H])C(=C(N2[H])[H])C([H])([H])C([H])([H])C([H])([H])Oc3c(c(c(c(c3[H])C(F)(F)F)[H])[H])[H])[H])[H]
