Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
22,1h1r,-0.6100254604018183,0.1060725110263223,0.0
1oiy,32,-1.4108505557146778,0.1029219496825711,0.0
31,32,-3.478477844719329,0.1018414568436704,0.0
1oiu,1h1q,2.1024305167840787,0.1010829170199867,0.0
1h1s,26,1.0778535633485902,0.1034084912609467,0.0
28,26,2.6350295647977333,0.1049312174698683,0.0
1h1s,1oiy,2.1944666079378656,0.1050739206990015,0.0
17,22,0.3319726179042863,0.0920542012414803,0.0
1oi9,20,2.021951201188415,0.1063516707174829,0.0
26,1h1q,0.2887675208295306,0.101371587173771,0.0
17,21,-0.9885428891095848,0.1048858209822796,0.0
28,31,1.317872524633504,0.1131895756931188,0.0
26,1oi9,-2.468053579008089,0.1102107364003639,0.0
20,1h1q,-0.0998819888315871,0.1030659864246511,0.0
17,1h1q,-0.918671987924025,0.0909860645999912,0.0
1h1r,1oi9,-2.630382716188432,0.1118184094652379,0.0
1oiy,29,-1.7203817543536566,0.0988277686933868,0.0
1oiy,1h1q,1.9471103453801,0.0976106852335968,0.0
29,26,0.5927156637000444,0.1135285450931969,0.0
1h1r,21,0.1687203309861047,0.0938486981038821,0.0
1oiy,31,0.3237139511328095,0.1022548177214621,0.0
30,31,0.8110757376762052,0.096529803040195,0.0
30,26,0.8075319256164128,0.1100955446258342,0.0
1oiu,26,2.254769008038984,0.1072643717241436,0.0
1oiy,1oi9,-0.3707834150534737,0.1038982480297166,0.0
22,1h1r,-1.6287245449562242,0.0973530284399381,0.0
28,26,4.802033363913932,0.106667204112071,0.0
1h1s,1oiy,2.281065393820853,0.1074470888361756,0.0
26,1oi9,-1.2591661915754564,0.1048508630564924,0.0
20,1h1q,1.4141143035755483,0.104506128479688,0.0
17,21,-1.393442094067538,0.0963500685982676,0.0
28,31,4.37113008599523,0.119467890687281,0.0
1oiy,29,-0.5273712144389222,0.0955398822615851,0.0
1oiy,1h1q,1.7848179519616778,0.1054530601394024,0.0
1h1s,26,3.230433080965156,0.1160873435278036,0.0
1h1r,1oi9,-2.286812074125347,0.0993481581585841,0.0
1oiy,31,1.0179385951245337,0.0980879114529504,0.0
1oiu,1h1q,3.583247756715064,0.1047033427360524,0.0
1h1r,21,-0.2979572477876431,0.1140260063404759,0.0
31,32,-1.124397870133464,0.1065991483311341,0.0
30,31,1.4392631897243469,0.0952521290901756,0.0
30,26,1.027506969061939,0.0980559107581951,0.0
1oiu,26,2.658584785773876,0.1002276637653558,0.0
26,1h1q,1.2036326742654673,0.097507125390054,0.0
1oiy,32,-0.5947669312607395,0.1008765638941697,0.0
1oi9,20,1.8007078979097884,0.1152435919056149,0.0
17,1h1q,-1.3940745788634068,0.1185955096942768,0.0
17,22,-0.0177722427649182,0.1024845328165144,0.0
1oiy,1oi9,-0.8115672691856126,0.1114714134540927,0.0
29,26,0.5995163915169286,0.1159153891707671,0.0
22,1h1r,-1.4505512849819624,0.0941808929137184,0.0
1oiy,32,0.2881539351336641,0.0988105413516477,0.0
1oi9,20,0.523116808737079,0.0976021547995381,0.0
17,1h1q,-1.7844425790355132,0.1122520326247549,0.0
28,26,1.0168708046448778,0.1002170304166291,0.0
1h1s,1oiy,4.219895983182326,0.1105691944255821,0.0
17,22,1.4135381592957523,0.0996881082843518,0.0
20,1h1q,0.5490958624477891,0.1007909150437896,0.0
1oiy,1oi9,-0.594977407655847,0.1041500440404966,0.0
17,21,-1.3995455748163297,0.1169465376470117,0.0
28,31,1.1889688971693673,0.1134184153646882,0.0
26,1oi9,-1.5051988735815272,0.1015168022857717,0.0
1oiy,1h1q,2.338152134357681,0.114351994829713,0.0
29,26,1.246588896031696,0.0953180161249255,0.0
1h1r,1oi9,-3.0279735350814185,0.1032600935604065,0.0
1oiy,29,0.8026416052067233,0.1030804902187689,0.0
1oiu,1h1q,3.247405889940083,0.1011597746554826,0.0
1h1s,26,2.200724754155871,0.1060375016068504,0.0
1h1r,21,0.3983500051049802,0.0996818812186318,0.0
1oiy,31,-1.215112016901326,0.1049612507218346,0.0
30,31,-0.6828406502029374,0.1071132809040739,0.0
30,26,0.3630161048878513,0.1093976424655088,0.0
31,32,-0.5982497938058415,0.1109696678734386,0.0
26,1h1q,1.6738242190809594,0.0942791725642163,0.0
1oiu,26,1.8548032908292635,0.0954356570847587,0.0
