Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
17124-1,18634-1,1.0987977491664402,0.0973641657936311,0.0
18632-1,18624-1,0.7140335874658916,0.1055042444217723,0.0
18628-1,18624-1,0.2317875227527626,0.1141216198870804,0.0
18626-1,18624-1,0.5498088793181566,0.1102877301831088,0.0
18629-1,18627-1,-1.0118605091543138,0.1036384732772723,0.0
18626-1,18634-1,-1.6368722551641106,0.1400557997127076,0.0
18626-1,18628-1,0.101189841849262,0.106744392825407,0.0
18635-1,18624-1,0.0758816909438486,0.123996717937479,0.0
18631-1,18660-1,-0.7380422735619412,0.1185120737602791,0.0
18634-1,18637-1,-0.6391843483442194,0.0952754659234994,0.0
18633-1,18624-1,-0.2280914241449565,0.1141420571492786,0.0
18626-1,18660-1,-2.853208112208371,0.1078794244764964,0.0
18635-1,18625-1,0.8197865994980837,0.1088662729835789,0.0
18638-1,18634-1,-0.0836534777363624,0.1035207649601295,0.0
18626-1,18658-1,-2.012357793118934,0.1119200278857877,0.0
18626-1,18632-1,0.2672019138620953,0.1503866795088929,0.0
18631-1,18652-1,-0.993827708101506,0.1018153243844101,0.0
17124-1,18631-1,1.1247209126587236,0.1046262888158458,0.0
18626-1,18659-1,-1.8147845152538835,0.107181644138068,0.0
18639-1,18658-1,0.9579619762479652,0.1026141888767326,0.0
18626-1,18630-1,-0.3389285834848898,0.1065482069210178,0.0
18637-1,18631-1,3.0417492443709726,0.0956303934042138,0.0
18636-1,18624-1,-0.5679390408721865,0.1049784630790591,0.0
18626-1,18625-1,0.651995361780564,0.1148455581789871,0.0
18631-1,18624-1,2.70410786619426,0.1009672826731981,0.0
18636-1,18625-1,-0.8067884491130073,0.1144763525715411,0.0
18639-1,18634-1,0.0728855605775606,0.0937774983697704,0.0
18638-1,18658-1,0.2963931310858072,0.10840898462366,0.0
18626-1,18627-1,-0.2044414288468559,0.107777462045485,0.0
18627-1,18630-1,0.5956681701019608,0.111307018680253,0.0
18659-1,18634-1,0.5949071652637272,0.1037113768892756,0.0
17124-1,18634-1,1.6382087284812137,0.117487565273003,0.0
18629-1,18627-1,-0.2470677975506845,0.105824495840173,0.0
17124-1,18631-1,1.2417221275049215,0.0982794513184648,0.0
18639-1,18634-1,1.679292395541097,0.0936287378141031,0.0
18632-1,18624-1,0.553604698648833,0.105222113341816,0.0
18628-1,18624-1,0.2822613283313266,0.1033848281777008,0.0
18626-1,18624-1,0.6401907287020414,0.0964115282863384,0.0
18634-1,18637-1,-0.3344571558135314,0.0995891847342418,0.0
18627-1,18630-1,0.0957802112377237,0.1084124496875874,0.0
18635-1,18624-1,0.3920561993009457,0.1264932812230439,0.0
18631-1,18660-1,-0.745285018768552,0.1044620192186694,0.0
18626-1,18627-1,-0.295946096515447,0.1191400914443336,0.0
18659-1,18634-1,-0.513314389334365,0.1061176769639293,0.0
18635-1,18625-1,0.8399311768575828,0.1097268255634489,0.0
18638-1,18634-1,0.3242240030051313,0.0964966526534604,0.0
18631-1,18652-1,-1.2254982989759426,0.1020144202236048,0.0
18636-1,18624-1,-1.3599117180003155,0.1151441023533548,0.0
18626-1,18658-1,-3.0296461594449653,0.0942058854504236,0.0
18626-1,18632-1,0.8423738953671887,0.1293700977050016,0.0
18637-1,18631-1,1.9437307148174556,0.1022814540879867,0.0
18626-1,18628-1,0.4742213712117191,0.1119225782216196,0.0
18639-1,18658-1,-0.336239779130576,0.0990828862343116,0.0
18626-1,18630-1,0.6243668572753869,0.122590002103135,0.0
18636-1,18625-1,-1.1304864407508433,0.0956405042453973,0.0
18626-1,18660-1,-2.128433263572454,0.116096902662886,0.0
18626-1,18625-1,0.0073805731440543,0.1228324469415285,0.0
18631-1,18624-1,2.5756461802195503,0.0947776431273532,0.0
18626-1,18634-1,-2.462830845000447,0.0971329684663378,0.0
18626-1,18659-1,-2.568964342250993,0.1065896126891792,0.0
18638-1,18658-1,1.2993012683846317,0.1007517682040599,0.0
18633-1,18624-1,0.6915833534640825,0.1062600393633905,0.0
17124-1,18634-1,0.963205037474168,0.1045567157881174,0.0
18631-1,18624-1,2.3949169166345463,0.126833945912266,0.0
18636-1,18625-1,-0.8862271433615057,0.1030234391147997,0.0
18636-1,18624-1,-0.4671653000488511,0.1230913661717253,0.0
18632-1,18624-1,1.1548173612668968,0.1141157185006053,0.0
18628-1,18624-1,0.5281816834139708,0.1282627883325087,0.0
18626-1,18624-1,0.8642821526798574,0.155859807076604,0.0
18629-1,18627-1,-0.7749461560158046,0.1064992406526909,0.0
18626-1,18634-1,-3.046348395394446,0.1291836943234471,0.0
18626-1,18628-1,0.1943684767247973,0.1122907074235814,0.0
18635-1,18624-1,0.5754682451983939,0.1060769335636624,0.0
18631-1,18660-1,-0.8607390812168028,0.1111969523302427,0.0
18634-1,18637-1,-0.9161343622560238,0.1005505825838916,0.0
18633-1,18624-1,0.3130022271522783,0.1053268149911102,0.0
18626-1,18659-1,-2.1959023369552497,0.0955656693330721,0.0
18635-1,18625-1,0.8341746917151447,0.127771907191645,0.0
18638-1,18634-1,0.6201121296969525,0.1064429522704929,0.0
18626-1,18627-1,0.0621361479525184,0.0988810719175763,0.0
17124-1,18631-1,2.2047557203708443,0.0868982577467734,0.0
18639-1,18634-1,1.0107273115126,0.1099923934929163,0.0
18626-1,18658-1,-2.386896612520303,0.1054232944925202,0.0
18626-1,18632-1,0.1527081710361244,0.1388708369101211,0.0
18637-1,18631-1,1.5375028795562038,0.1085331185449163,0.0
18659-1,18634-1,-0.1577129081277597,0.1104358423900897,0.0
18639-1,18658-1,0.1306702405523694,0.1096432311398039,0.0
18626-1,18630-1,-0.3847820578571692,0.1196458017257208,0.0
18627-1,18630-1,-0.3721419704115796,0.0965472557706004,0.0
18626-1,18625-1,0.8761882483081642,0.092962432696892,0.0
18631-1,18652-1,-1.1112858731220854,0.1114009039904498,0.0
18626-1,18660-1,-2.5919935489214723,0.1003714080281125,0.0
18638-1,18658-1,0.114887189652677,0.10620823959956,0.0
