Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
17124-1,18634-1,0.447688908327283,0.1108967832198055,0.0
18629-1,18627-1,0.1306627140283573,0.1081524887145635,0.0
18636-1,18625-1,0.325444907740664,0.1057711122891288,0.0
18659-1,18634-1,0.4004702722458475,0.1060810491840226,0.0
18632-1,18624-1,-0.2582384469353691,0.1055282786015973,0.0
18628-1,18624-1,-0.6383265347308509,0.1139386390247193,0.0
18626-1,18624-1,0.8812221921971268,0.1037070830139168,0.0
18634-1,18637-1,-0.3901613211923695,0.1147273155750303,0.0
18626-1,18634-1,-1.883242136950308,0.1170599766884874,0.0
18626-1,18660-1,-1.262457224785834,0.1103846896460615,0.0
18635-1,18624-1,-0.5690068314753276,0.1081803860229641,0.0
18631-1,18660-1,-1.8713582185756827,0.1019042638916005,0.0
18626-1,18627-1,-0.0651357067954272,0.1118087425892957,0.0
17124-1,18631-1,0.1985028194026838,0.1063069153167704,0.0
18639-1,18634-1,0.7937933158539252,0.1081916857386051,0.0
18635-1,18625-1,0.1359961091713337,0.1012445075603363,0.0
18638-1,18634-1,0.1107463242859161,0.1021198373330411,0.0
18631-1,18652-1,-2.400836804164616,0.1278138372072488,0.0
18626-1,18658-1,-2.8589803683255437,0.0970215928880739,0.0
18626-1,18632-1,-0.0419362094860318,0.1211462403576464,0.0
18637-1,18631-1,1.935641524257676,0.1647805802148309,0.0
18627-1,18630-1,-0.566525070322033,0.0937136157063084,0.0
18639-1,18658-1,0.7454689576673168,0.1007260540116802,0.0
18626-1,18630-1,0.2836937405803432,0.1045843230262237,0.0
18633-1,18624-1,0.87388959205229,0.0854735760666763,0.0
18626-1,18659-1,-1.9575582487755163,0.0985545216215174,0.0
18626-1,18625-1,0.7655899916045286,0.0917969544418032,0.0
18631-1,18624-1,3.664737223887261,0.0984150067881173,0.0
18636-1,18624-1,-0.8173121915207275,0.1273521014846891,0.0
18638-1,18658-1,0.1556255484996498,0.1230600123455476,0.0
18626-1,18628-1,1.3775095373739106,0.1007371539750033,0.0
17124-1,18634-1,-0.2586390892804573,0.1231402471774537,0.0
18659-1,18634-1,-0.1403225167216639,0.1047698246248692,0.0
18632-1,18624-1,1.3202153211881225,0.1032134949482219,0.0
18638-1,18658-1,1.0597401436587113,0.1088948243683971,0.0
18626-1,18624-1,1.1402836813179107,0.1174668630022967,0.0
18627-1,18630-1,-0.6359971316084838,0.0943110409040376,0.0
18639-1,18634-1,0.928774480925167,0.1210060836230096,0.0
18635-1,18624-1,-0.7502355576748272,0.0845032689760563,0.0
18628-1,18624-1,-0.7272725953477703,0.1205670765878829,0.0
18631-1,18652-1,-2.7164279400047,0.1528493133397232,0.0
18637-1,18631-1,1.5239210690999163,0.125419148204804,0.0
18636-1,18625-1,-0.5395645233867334,0.1072325080878263,0.0
18626-1,18634-1,-1.873703438150418,0.1039432435620694,0.0
18633-1,18624-1,0.9817547823611292,0.1181164421554658,0.0
17124-1,18631-1,1.6002993914787176,0.1154294625312316,0.0
18631-1,18660-1,-0.9507920522157108,0.0898368486184025,0.0
18636-1,18624-1,-1.3597199860495763,0.1081506766035161,0.0
18635-1,18625-1,-0.6108161477879719,0.1668033814097927,0.0
18638-1,18634-1,-0.0475383798029227,0.1230452008754597,0.0
18626-1,18628-1,1.202731283884841,0.1046707678131317,0.0
18626-1,18658-1,-2.8108448711723533,0.116786556708498,0.0
18626-1,18632-1,0.9489719229072406,0.1369329620881974,0.0
18626-1,18660-1,-1.7781121198161784,0.0968689640006894,0.0
18639-1,18658-1,-0.2662983014187396,0.1114702900416212,0.0
18626-1,18630-1,0.6929992083232577,0.1196878391145427,0.0
18626-1,18659-1,-1.5574525746333876,0.0994248058641747,0.0
18626-1,18625-1,1.390374632233776,0.1090147141977271,0.0
18631-1,18624-1,1.2369641330886871,0.091984081358101,0.0
18629-1,18627-1,-0.7552427441249243,0.1086352501998414,0.0
18634-1,18637-1,-0.5935273188913861,0.1083431281342087,0.0
18626-1,18627-1,0.1575956965126117,0.098553808572626,0.0
17124-1,18634-1,0.3898049989586738,0.1093357159983222,0.0
18629-1,18627-1,-0.3663353690825701,0.098248761671043,0.0
18633-1,18624-1,0.1784556160798622,0.10377222552755,0.0
18626-1,18660-1,-2.984656311221769,0.142389089720098,0.0
18632-1,18624-1,0.7274410930301514,0.1238693799109545,0.0
18638-1,18658-1,0.4577332973017824,0.0953121741004283,0.0
18626-1,18624-1,1.2823574284746826,0.1191187428488877,0.0
18634-1,18637-1,-0.289092905927319,0.1069762200005937,0.0
17124-1,18631-1,0.3121559507841205,0.1056166249849412,0.0
18626-1,18659-1,-2.4026912904383337,0.0918693012676024,0.0
18635-1,18624-1,-0.2262115511648836,0.1355854153339505,0.0
18628-1,18624-1,-0.647212193290887,0.0988586007244054,0.0
18631-1,18660-1,-0.9267489308534458,0.1383934159421257,0.0
18626-1,18627-1,-0.3135901199097901,0.108017284429639,0.0
18627-1,18630-1,0.5769594233612114,0.125824891924039,0.0
18639-1,18634-1,1.0491651553267296,0.119740072021624,0.0
18635-1,18625-1,-0.5395341721546565,0.1022675837624562,0.0
18638-1,18634-1,0.1906747887594484,0.1011612429154729,0.0
18631-1,18652-1,-2.1750318511683275,0.1117675244549179,0.0
18659-1,18634-1,1.0542068932900648,0.0986243030724015,0.0
18626-1,18658-1,-2.2430194402439234,0.1323447927045479,0.0
18626-1,18632-1,-0.2614201337182393,0.1037887268013264,0.0
18637-1,18631-1,2.0219225748125678,0.098684762697827,0.0
18636-1,18624-1,-1.2936914847472778,0.1046507823721433,0.0
18639-1,18658-1,1.0613193654729862,0.1071453408225148,0.0
18626-1,18630-1,0.3062798114751324,0.1045235602702727,0.0
18636-1,18625-1,-0.1694093339644418,0.0989055801967171,0.0
18626-1,18628-1,1.9432327521633823,0.1071756035641733,0.0
18626-1,18625-1,0.8934179137894098,0.119914008608163,0.0
18631-1,18624-1,1.355252638122696,0.0953184422708012,0.0
